alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.5,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.45361419999972,8,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.55,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.45361419999972,8,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.6,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,44.45361419999972,8,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
0.65,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,44.45361419999972,8,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
0.7,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,44.45361419999972,8,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
0.75,0.0009049773755656109,1.0,0.6428571428571429,0.35714285714285715,1.0,44.45361419999972,8,200,10.0,19872.0,18.0,0.0,1.0,0.0009049773755656109,0.9990954773869347
0.8,0.0011563599798893917,1.0,0.696969696969697,0.30303030303030304,1.0,44.45361419999972,8,200,10.0,19867.0,23.0,0.0,1.0,0.0011563599798893917,0.9988442211055276
0.85,0.00130718954248366,1.0,0.7222222222222222,0.2777777777777778,1.0,44.45361419999972,8,200,10.0,19864.0,26.0,0.0,1.0,0.00130718954248366,0.9986934673366834
0.9,0.0021116138763197585,1.0,0.8076923076923077,0.19230769230769232,1.0,44.45361419999972,8,200,10.0,19848.0,42.0,0.0,1.0,0.0021116138763197585,0.9978894472361809
0.95,0.012518853695324284,1.0,0.9613899613899614,0.03861003861003861,1.0,44.45361419999972,8,200,10.0,19641.0,249.0,0.0,1.0,0.012518853695324284,0.9874874371859297
1.0,0.9911010558069382,1.0,0.9994929777417229,0.0005070222582771384,1.0,44.45361419999972,8,200,10.0,177.0,19713.0,0.0,1.0,0.9911010558069382,0.009396984924623115
0.05,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.542686300119385,9,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
